Date,High school of less,Associates degree,Bachelors degree or higher,Overall,16-24,25-54,55+,Overall.1,Male,Female,Overall.2,Professional and management,Service,OPTICS,Overall.3,Construction and mining,Education and health,Finance and business services,Leisure and hospitality and other services,Manufacturing,Public administration,Trade and transportation,Overall.4,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific,Overall.5,Usually Full-time,Usually Part-time,Overall.6,Job Stayer,Job Switcher,Overall.7,MSA,non-MSA,Overall.8,Lowest quartile of wage distribution,2nd quartile of wage distribution,3rd quartile of wage distribution,Highest quartile of wage distribution,Overall.9,Lowest half of wage distribution,Upper half of wage distribution,Paid Hourly,Not Paid Hourly,Overall.10,Overall.11,Overall: Weighted,Overall: Weighted 97,Overall.12,Services,Full-time,College degree,Age 25-54,Female.1,Male.1,Job Stayer.1,Job Switcher.1,Paid Hourly.1,Overall: Weighted.1,Overall: Weighted 97.1,Overall: Weekly Basis,Overall: 25/20 trimmed mean,Lower 1/2 of wage distn,Upper 1/2 of wage distn,3MonthInterestRate,MoM Change,Employment_Rate,PresParty,SenParty,HouseParty,TrifectaFlag,FedMinWage,GDP_AnnualGrowth,Year
1977-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.58551,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.70025,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.91436999999999,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15753000000001,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.25849000000001,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.46552,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.37863,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.57096,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.71104,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.79969,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.10399,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1977-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.35771,Democrat,Democrat,Democrat,Democrat,$2.30,4.60%,1977.0
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.41845,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.44438000000001,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.60031,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.91202,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0041,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.27221,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.05035,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.29961999999999,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4302,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.64053,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6822,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1978-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6902,Democrat,Democrat,Democrat,Democrat,$2.65,5.50%,1978.0
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.77705999999999,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.87912,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.94209000000001,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.76598,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.72476999999999,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.80164,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97887,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.78876,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.16065,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.05056,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98467,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1979-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.20277,Democrat,Democrat,Democrat,Democrat,$2.90,3.20%,1979.0
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96776,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.92411,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.69975,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40039,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.01154,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85258,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.80904,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67326,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.92908,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.95877,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
1980-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.00182,Democrat,Democrat,Democrat,Democrat,$3.10,-0.30%,1980.0
