Date,High school of less,Associates degree,Bachelors degree or higher,Overall,Unnamed: 0.1,16-24,25-54,55+,Overall.1,Unnamed: 0.2,Male,Female,Overall.2,Unnamed: 0.3,Professional and management,Service,OPTICS,Overall.3,Unnamed: 0.4,Construction and mining,Education and health,Finance and business services,Leisure and hospitality and other services,Manufacturing,Public administration,Trade and transportation,Overall.4,Unnamed: 0.5,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific,Overall.5,Unnamed: 0.6,Usually Full-time,Usually Part-time,Overall.6,Unnamed: 0.7,Job Stayer,Job Switcher,Overall.7,Unnamed: 0.8,MSA,non-MSA,Overall.8,Unnamed: 0.9,Lowest quartile of wage distribution,2nd quartile of wage distribution,3rd quartile of wage distribution,Highest quartile of wage distribution,Overall.9,Lowest half of wage distribution,Upper half of wage distribution,Unnamed: 0.10,Paid Hourly,Not Paid Hourly,Overall.10,Unnamed: 0.11,Overall.11,Overall: Weighted,Overall: Weighted 97,Unnamed: 0.12,Overall.12,Services,Full-time,College degree,Age 25-54,Female.1,Male.1,Job Stayer.1,Job Switcher.1,Paid Hourly.1,Overall: Weighted.1,Overall: Weighted 97.1,Overall: Weekly Basis,Overall: 25/20 trimmed mean,Lower 1/2 of wage distn,Upper 1/2 of wage distn,3MonthInterestRate
1998-01-01,4.6,4.5,5.1,4.7,1998-01-01,9.9,4.6,2.9,4.7,1998-01-01,4.7,4.8,4.7,1998-01-01,5.1,4.3,4.7,4.7,1998-01-01,5.1,4.2,5.8,4.8,4.6,4.4,4.8,4.7,1998-01-01,4.4,4.2,4.9,5.2,4.8,4.5,5.5,5.7,4.1,4.7,1998-01-01,4.7,5,4.7,1998-01-01,4.3,5.7,4.7,1998-01-01,4.8,4.5,4.7,1998-01-01,6.5,4.7,4.1,4.1,4.7,5.4,4.1,1998-01-01,4.5,5.3,4.7,1998-01-01,4.7,5,5,1998-01-01,4.9,4.8,4.8,5.1,4.8,4.8,4.9,4.3,6.1,4.7,5.1,5,5.4,4.7,5.6,4.1,5.54
1998-02-01,4.6,4.5,5.1,4.7,1998-02-01,10.1,4.6,3,4.7,1998-02-01,4.7,4.8,4.7,1998-02-01,5.1,4.2,4.7,4.7,1998-02-01,5,4.2,5.9,4.9,4.6,4.3,4.8,4.7,1998-02-01,4.4,4.1,4.9,5.2,4.9,4.7,5.3,5.6,4.1,4.7,1998-02-01,4.7,5,4.7,1998-02-01,4.3,5.7,4.7,1998-02-01,4.8,4.4,4.7,1998-02-01,6.6,4.8,4.1,4.1,4.7,5.5,4.1,1998-02-01,4.5,5.2,4.7,1998-02-01,4.7,5,5,1998-02-01,4.8,4.7,4.7,4.9,4.6,4.8,4.7,4.3,5.8,4.6,5,5,5.3,4.7,5.4,4.2,5.54
1998-03-01,4.7,4.5,5.1,4.7,1998-03-01,10.1,4.6,2.9,4.7,1998-03-01,4.7,4.8,4.7,1998-03-01,5.1,4.2,4.7,4.7,1998-03-01,5,4.1,5.8,5,4.6,4.3,4.8,4.7,1998-03-01,4.6,4.1,4.8,5.2,4.9,4.7,5.2,5.7,4.2,4.7,1998-03-01,4.7,5.2,4.7,1998-03-01,4.3,5.7,4.7,1998-03-01,4.8,4.5,4.7,1998-03-01,6.8,4.7,4,4.1,4.7,5.5,4.1,1998-03-01,4.6,5.2,4.7,1998-03-01,4.7,5,5,1998-03-01,4.6,4.7,4.5,4.6,4.4,4.7,4.6,4.3,5.6,4.7,4.9,4.9,4.9,4.5,5.3,4.1,5.58
1998-04-01,4.7,4.6,5.1,4.8,1998-04-01,10.1,4.6,3.1,4.8,1998-04-01,4.7,4.9,4.8,1998-04-01,5.1,4.4,4.7,4.8,1998-04-01,5,4.2,6,5.1,4.7,4.4,4.8,4.8,1998-04-01,4.7,4.2,4.7,5.3,5,4.9,5,5.9,4.4,4.8,1998-04-01,4.7,5.4,4.8,1998-04-01,4.4,5.7,4.8,1998-04-01,4.9,4.6,4.8,1998-04-01,6.9,4.8,4,4.2,4.8,5.6,4.1,1998-04-01,4.6,5.3,4.8,1998-04-01,4.8,5.1,5.1,1998-04-01,4.9,4.9,4.7,4.7,4.5,5,4.7,4.6,5.4,4.7,5.2,5.2,5,4.7,5.6,4.2,5.58
1998-05-01,4.8,4.7,5.3,4.9,1998-05-01,9.9,4.7,3.2,4.9,1998-05-01,4.8,5,4.9,1998-05-01,5.3,4.5,4.8,4.9,1998-05-01,4.9,4.3,6.2,5.2,4.7,4.7,5,4.9,1998-05-01,4.8,4.3,4.9,5.3,5.1,4.7,5.2,6,4.4,4.9,1998-05-01,4.8,5.3,4.9,1998-05-01,4.5,5.8,4.9,1998-05-01,5,4.7,4.9,1998-05-01,7,4.8,4.1,4.3,4.9,5.7,4.2,1998-05-01,4.7,5.3,4.9,1998-05-01,4.9,5.2,5.2,1998-05-01,5.2,5.3,5.1,5.3,4.9,5.3,5,4.9,5.8,4.9,5.4,5.4,5.4,5,5.8,4.5,5.59
1998-06-01,4.8,4.8,5.3,4.9,1998-06-01,10.2,4.7,3.2,4.9,1998-06-01,4.9,5,4.9,1998-06-01,5.4,4.5,4.8,4.9,1998-06-01,4.8,4.4,6.2,5.1,4.7,4.6,5.1,4.9,1998-06-01,4.8,4.3,5,5.4,5.1,4.9,5.3,6,4.5,4.9,1998-06-01,4.9,5.2,4.9,1998-06-01,4.6,5.8,4.9,1998-06-01,5,4.6,4.9,1998-06-01,7.1,4.8,4.1,4.5,4.9,5.7,4.2,1998-06-01,4.7,5.4,4.9,1998-06-01,4.9,5.2,5.2,1998-06-01,5.4,5.5,5.4,5.7,5.1,5.4,5.4,5.1,6,5,5.8,5.8,5.9,5.3,6.3,4.6,5.6
1998-07-01,4.9,4.7,5.4,5,1998-07-01,10.1,4.8,3.2,5,1998-07-01,5,5,5,1998-07-01,5.3,4.7,4.8,5,1998-07-01,4.9,4.4,6.2,4.9,4.6,4.8,5.1,5,1998-07-01,5,4.3,4.9,5.5,5.2,4.7,5.4,5.9,4.5,5,1998-07-01,4.9,5.2,5,1998-07-01,4.6,5.8,5,1998-07-01,5.1,4.7,5,1998-07-01,7.1,4.9,4.1,4.5,5,5.7,4.3,1998-07-01,4.8,5.4,5,1998-07-01,5,5.3,5.3,1998-07-01,5.4,5.6,5.5,5.8,5.2,5.3,5.6,4.9,6.4,5.2,5.8,5.8,6,5.3,6.5,4.5,5.59
1998-08-01,4.9,4.6,5.5,5,1998-08-01,10.2,4.8,3.2,5,1998-08-01,5,5,5,1998-08-01,5.4,4.8,4.8,5,1998-08-01,5,4.5,6.2,5,4.7,4.8,5.1,5,1998-08-01,4.9,4.2,5.2,5.5,5.2,4.6,5.5,5.9,4.6,5,1998-08-01,5,5.2,5,1998-08-01,4.6,5.9,5,1998-08-01,5.1,4.7,5,1998-08-01,7.1,4.9,4.1,4.5,5,5.8,4.2,1998-08-01,4.8,5.4,5,1998-08-01,5,5.3,5.3,1998-08-01,5.3,5.5,5.3,5.5,5,5.2,5.4,4.9,6.3,5.2,5.9,5.9,5.7,5.2,6.5,4.2,5.58
1998-09-01,4.9,4.6,5.6,5,1998-09-01,10.1,4.8,3.2,5,1998-09-01,5,5,5,1998-09-01,5.4,4.7,4.8,5,1998-09-01,5,4.5,6.3,4.9,4.7,4.9,5,5,1998-09-01,4.9,4.2,5.2,5.6,5.2,4.6,5.4,5.7,4.7,5,1998-09-01,5,5.2,5,1998-09-01,4.6,6,5,1998-09-01,5.1,4.7,5,1998-09-01,6.9,5,4.1,4.6,5,5.7,4.3,1998-09-01,4.8,5.4,5,1998-09-01,5,5.3,5.3,1998-09-01,5.1,5.2,5.1,5.3,5,5.1,5.2,4.5,6.6,4.9,5.5,5.5,5.4,5,5.9,4.3,5.41
1998-10-01,4.9,4.6,5.7,5,1998-10-01,10,4.9,3.3,5,1998-10-01,5,5,5,1998-10-01,5.4,4.8,4.8,5,1998-10-01,5,4.5,6.2,5.4,4.8,4.9,5,5,1998-10-01,4.8,4.3,5.1,5.5,5.3,4.6,5.4,5.6,4.9,5,1998-10-01,5,5.1,5,1998-10-01,4.6,6,5,1998-10-01,5.1,4.6,5,1998-10-01,6.9,4.9,4.2,4.6,5,5.7,4.3,1998-10-01,4.8,5.5,5,1998-10-01,5,5.4,5.4,1998-10-01,5,5,5,5.5,5,5.1,4.9,4.4,6.3,4.7,5.4,5.4,5.2,4.9,5.3,4.6,5.21
